site,habitat,riv.dist.m,tree.cov.scale
B03,grassland,3025.187409,1.993461479
B04,grassland,1649.2395,2.608056851
B05,grassland,1013.889717,2.324496039
B06,grassland,2935.747739,2.045466585
B07,grassland,1259.639695,1.245415078
B08,grassland,1864.601441,0.610964723
B09,grassland,347.20037,0.527687926
B10,grassland,1801.156598,0.372981943
B12,open woodland,2209.24623,3.925369235
B13,open woodland,224.2008736,2.485870499
C01,grassland,540.393368,1.724992952
C02,grassland,1768.352411,1.210605651
C03,grassland,2602.995485,1.892618666
C04,grassland,2541.356381,1.154329506
C05,grassland,2953.569716,1.039924589
C06,grassland,3154.448605,-0.004855068
C07,grassland,2606.414222,0.520347595
C08,grassland,2724.989828,0.080419149
C09,grassland,2487.465252,0.747962494
C10,grassland,3092.511844,0.09263004
C11,grassland,4244.495406,0.595411165
C12,grassland,1932.138842,1.161004405
C13,grassland,62.8323347,1.540130601
D02,grassland,486.2714977,2.217490708
D03,grassland,528.6077591,0.435593518
D04,grassland,408.2804862,1.036270413
D05,grassland,1125.654678,0.69317459
D06,grassland,1316.05026,0.801839097
D07,grassland,487.2553673,0.721270162
D08,grassland,873.0724841,0.337002536
D09,grassland,1577.514045,0.498648185
D10,grassland,3799.653808,-0.18602307
D11,grassland,3441.670108,0.203055844
D12,grassland,1769.343452,0.512258902
D13,grassland,404.6812876,0.383892897
E01,grassland,587.8946048,1.07262212
E02,grassland,120.700285,2.015439759
E03,grassland,542.0615165,1.330728561
E04,grassland,1453.674526,-0.046403862
E05,grassland,889.7103308,0.5690994
E06,grassland,100,1.097141536
E07,grassland,1069.588483,0.305676388
E08,grassland,1329.980609,0.440314436
E09,grassland,2003.615498,0.18545117
E10,grassland,3354.601012,0.368082767
E11,grassland,1284.9375,0.318906685
E12,grassland,640.8266201,0.324370192
E13,grassland,569.6187904,0.180078618
F01,grassland,124.8850362,1.628496117
F02,grassland,1441.418372,1.32163618
F03,grassland,480.4075013,0.746676824
F04,grassland,894.350666,1.060548037
F05,grassland,1950.014851,0.76159375
F06,grassland,193.6802961,0.842731586
F07,grassland,50.80122185,0.754324743
F08,grassland,171.1942533,0.672762108
F09,grassland,190.0165371,0.652337458
