"site","date"
"B04","2011-02-22"
"B04","2011-02-23"
"B04","2011-02-24"
"B04","2011-02-25"
"B04","2011-02-26"
"B04","2011-02-27"
"B04","2011-02-28"
"B04","2011-03-01"
"B04","2011-03-02"
"B04","2011-03-03"
"B04","2011-03-04"
"B04","2011-03-05"
"B04","2011-03-06"
"B04","2011-03-07"
"B04","2011-03-08"
"B04","2011-03-09"
"B04","2011-03-10"
"B04","2011-03-11"
"B04","2011-03-12"
"B04","2011-03-13"
"B04","2011-03-14"
"B04","2011-03-15"
"B04","2011-03-16"
"B04","2011-03-17"
"B04","2011-03-18"
"B04","2011-03-19"
"B04","2011-03-20"
"B04","2011-03-21"
"B04","2011-03-21 00:00:00"
"B04","2011-03-22 00:00:00"
"B04","2011-03-23 00:00:00"
"B04","2011-03-24 00:00:00"
"B04","2011-03-25 00:00:00"
"B04","2011-03-26 00:00:00"
"B04","2011-03-27 00:00:00"
"B04","2011-03-28 01:00:00"
"B04","2011-03-29 01:00:00"
"B04","2011-03-30 01:00:00"
"B04","2011-03-31 01:00:00"
"B04","2011-04-01 01:00:00"
"B04","2011-04-02 01:00:00"
"B04","2011-04-03 01:00:00"
"B04","2011-04-04 01:00:00"
"B04","2011-04-05 01:00:00"
"B04","2011-04-06 01:00:00"
"B04","2011-04-07 01:00:00"
"B04","2011-04-08 01:00:00"
"B04","2011-04-09 01:00:00"
"B04","2011-04-10 01:00:00"
"B04","2011-04-11 01:00:00"
"B04","2011-04-12 01:00:00"
"B04","2011-04-13 01:00:00"
"B04","2011-04-14 01:00:00"
"B04","2011-04-15 01:00:00"
"B04","2011-04-16 01:00:00"
"B04","2011-04-17 01:00:00"
"B04","2011-04-18 01:00:00"
"B04","2011-04-19 01:00:00"
"B04","2011-04-20 01:00:00"
"B04","2011-04-21 01:00:00"
"B04","2011-04-22 01:00:00"
"B04","2011-04-23 01:00:00"
"B04","2011-04-24 01:00:00"
"B04","2011-04-25 01:00:00"
"B04","2011-04-26 01:00:00"
"B04","2011-04-27 01:00:00"
"B04","2011-04-28 01:00:00"
"B04","2011-04-29 01:00:00"
"B04","2011-04-30 01:00:00"
"B04","2011-05-01 01:00:00"
"B04","2011-05-02"
"B04","2011-05-03"
"B04","2011-05-04"
"B04","2011-05-05"
"B04","2011-05-06"
"B04","2011-05-07"
"B04","2011-05-08"
"B04","2011-05-09"
"B04","2011-05-10"
"B04","2011-05-11"
"B04","2011-05-12"
"B04","2011-05-13"
"B04","2011-05-14"
"B04","2011-05-15"
"B04","2011-05-16"
"B04","2011-05-17"
"B04","2011-05-18"
"B04","2011-05-19"
"B04","2011-05-20"
"B04","2011-05-21"
"B04","2011-05-22"
"B04","2011-05-23"
"B04","2011-05-24"
"B04","2011-05-25"
"B04","2011-05-26"
"B04","2011-05-27"
"B04","2011-05-28"
"B04","2011-05-29"
"B04","2011-05-30"
"B04","2011-05-31"
"B04","2011-06-01"
"B04","2011-06-02"
"B04","2011-06-03"
"B04","2011-06-04"
"B04","2011-06-05"
"B04","2011-06-06"
"B04","2011-06-07"
"B04","2011-06-08"
"B04","2011-06-09"
"B04","2011-06-10"
"B04","2011-06-11"
"B04","2011-06-12"
"B04","2011-06-13"
"B04","2011-06-14"
"B04","2011-06-15"
"B04","2011-06-16"
"B04","2011-06-17"
"B04","2011-06-18"
"B04","2011-06-19"
"B04","2011-06-20"
"B04","2011-06-21"
"B04","2011-06-22"
"B04","2011-06-23"
"B04","2011-06-24"
"B04","2011-06-25"
"B04","2011-06-26"
"B04","2011-06-27"
"B04","2011-06-28"
"B04","2011-06-29"
"B04","2011-06-30"
"B04","2011-07-01"
"B04","2011-07-02"
"B04","2011-07-03"
"B04","2011-07-04"
"B04","2011-07-05"
"B04","2011-07-06"
"B04","2011-07-07"
"B04","2011-07-08"
"B04","2011-07-09"
"B04","2011-07-10"
"B04","2011-07-11"
"B04","2011-07-12"
"B04","2011-07-13"
"B04","2011-07-14"
"B04","2011-07-15"
"B04","2011-07-16"
"B04","2011-07-17"
"B04","2011-07-18"
"B04","2011-07-19"
"B04","2011-07-20"
"B04","2011-07-21"
"B04","2011-07-22"
"B04","2011-07-23"
"B05","2011-02-22"
"B05","2011-02-23"
"B05","2011-02-24"
"B05","2011-02-25"
"B05","2011-02-26"
"B05","2011-02-27"
"B05","2011-02-28"
"B05","2011-03-01"
"B05","2011-03-02"
"B05","2011-03-03"
"B05","2011-03-04"
"B05","2011-03-05"
"B05","2011-03-06"
"B05","2011-03-07"
"B05","2011-03-08"
"B05","2011-03-09"
"B05","2011-03-10"
"B05","2011-03-11"
"B05","2011-03-12"
"B05","2011-03-13"
"B05","2011-03-14"
"B05","2011-03-15"
"B05","2011-03-16"
"B05","2011-03-17"
"B05","2011-03-18"
"B05","2011-03-19"
"B05","2011-03-20"
"B05","2011-03-21"
